pref_code,pref_ja,pref_ko,pref_en,lat,lon,korea,foreign_total,min_minutes,gravity,n_reachable,ratio,ratio_min,ratio_max,uncertain,korea_share
1,北海道,홋카이도,Hokkai Do,43.0642,141.3469,2375690.0,11210980.0,336.596589387979,2.590631775641325,1.0,3.6579032952383583,2.3611142786336567,6.5875010634110005,0,0.21190743360526912
2,青森県,아오모리,Aomori Ken,40.8246,140.7406,49240.0,508080.0,296.93827903247995,0.32941967900503105,1.0,1.142914409692994,0.48298705388301605,1.6874035443723638,0,0.09691387183120768
3,岩手県,이와테,Iwate Ken,39.7036,141.1527,14050.0,429960.0,407.0740337657722,0.09086128087963787,0.0,1.328185258563845,0.5281759147107471,2.788179477568612,0,0.0326774583682203
4,宮城県,미야기,Miyagi Ken,38.2688,140.8721,31450.0,971050.0,300.26818710372424,0.5718303958825827,1.0,0.3678248896508446,0.2428481899061651,0.5729948507796728,0,0.03238762164667113
5,秋田県,아키타,Akita Ken,39.7186,140.1024,6060.0,125710.0,409.3554467037682,0.08660573652244881,0.0,2.1579811441685495,1.0416729923118555,3.220162123407454,1,0.04820618884734707
6,山形県,야마가타,Yamagata Ken,38.2404,140.3633,7730.0,285370.0,335.0563226122504,0.502867365988691,1.0,0.43936903372378805,0.29915909690180154,1.0528392815474124,0,0.027087640606931352
7,福島県,후쿠시마,Fukushima Ken,37.7503,140.4676,4290.0,325220.0,343.93397318667365,0.9011080020129519,1.0,0.3166145550234049,0.07170740388965025,0.5003387749171856,1,0.013191070659861017
8,茨城県,이바라키,Ibaraki Ken,36.3418,140.4468,45600.0,270840.0,326.8277706151439,9.479894690746114,1.1666666666666667,2.417484227376675,1.52398322944146,4.803146143060504,4,0.1683650863978733
9,栃木県,도치기,Tochigi Ken,36.5658,139.8836,20270.0,384220.0,364.1505108595834,5.797790351315939,0.16666666666666666,1.2408157261034443,0.7108043327203781,1.9050964729811433,0,0.052756233407943366
10,群馬県,군마,Gunma Ken,36.3907,139.0604,18750.0,303680.0,392.6895516933044,3.843476136193034,0.0,1.9781772918046734,1.2037335784077259,3.42132312624255,1,0.061742623814541625
