pref_code,month,ICN,GMP,PUS,CJU
39,3,324.5,437.7,300.6,436.0
45,3,252.3,705.1,329.6,703.4
14,3,298.0,295.9,344.2,363.4
26,4,318.6,333.6,314.5,331.9
41,4,245.6,727.8,246.9,726.1
43,4,250.7,707.6,225.4,705.9
37,4,262.0,363.3,344.2,361.6
23,4,299.9,298.0,280.7,424.3
9,4,383.8,391.9,367.4,386.7
19,4,374.6,389.5,427.3,451.8
25,4,325.6,338.6,319.5,336.9
10,4,394.8,392.7,405.8,425.1
4,4,300.3,595.9,549.2,568.4
22,4,298.9,405.5,388.3,489.1
8,4,348.2,384.8,331.8,351.0
47,4,289.1,1418.6,270.2,1416.9
6,4,335.1,582.1,542.7,562.0
30,4,278.0,276.1,257.1,274.4
42,4,254.2,784.1,305.9,782.4
5,4,409.4,743.0,658.8,727.0
33,4,257.6,375.4,356.3,373.7
40,4,236.1,706.7,210.7,705.0
21,4,322.7,320.7,303.5,423.2
2,4,296.9,871.0,524.6,850.1
27,4,281.4,291.0,271.9,289.3
20,4,418.0,467.8,478.6,508.1
44,4,268.1,613.2,297.1,611.5
24,4,293.6,291.6,274.4,371.6
34,4,282.8,508.1,285.3,506.4
1,4,339.2,1124.8,336.6,1102.5
28,4,261.2,282.6,263.5,280.9
12,4,311.8,309.6,298.0,317.2
16,4,336.3,468.5,451.3,559.6
13,4,298.5,296.4,331.4,350.6
11,4,317.1,315.0,335.3,354.5
35,4,288.5,600.3,322.2,598.6
7,4,343.9,530.7,488.3,507.6
17,4,286.7,454.7,437.5,522.5
18,4,297.0,405.2,388.0,453.6
38,4,248.4,489.9,224.5,488.2
29,4,309.7,313.8,294.7,312.1
32,4,255.3,483.9,404.0,482.2
3,4,407.1,755.9,638.4,729.8
31,4,329.1,403.5,384.4,401.8
36,4,260.4,327.4,308.3,325.7
46,4,276.6,793.5,358.3,791.8
15,4,283.2,548.9,534.5,553.7
39,4,324.5,437.7,300.6,436.0
45,4,252.3,705.1,329.6,703.4
14,4,298.0,295.9,344.2,363.4
26,5,318.6,333.6,314.5,331.9
41,5,245.6,727.8,246.9,726.1
43,5,250.7,707.6,225.4,705.9
37,5,262.0,363.3,344.2,361.6
23,5,299.9,298.0,280.7,424.3
9,5,383.8,391.9,367.4,386.7
19,5,374.6,389.5,427.3,451.8
25,5,325.6,338.6,319.5,336.9
10,5,394.8,392.7,405.8,425.1
4,5,300.3,595.9,549.2,568.4
22,5,298.9,405.5,388.3,489.1
8,5,348.2,384.8,331.8,351.0
47,5,289.1,1418.6,270.2,1416.9
6,5,335.1,582.1,542.7,562.0
30,5,278.0,276.1,257.1,274.4
42,5,254.2,784.1,305.9,782.4
5,5,409.4,743.0,658.8,727.0
33,5,257.6,375.4,356.3,373.7
40,5,236.1,706.7,210.7,705.0
21,5,322.7,320.7,303.5,423.2
2,5,296.9,871.0,524.6,850.1
27,5,281.4,291.0,271.9,289.3
20,5,350.4,467.8,478.6,508.1
44,5,268.1,613.2,297.1,611.5
24,5,293.6,291.6,274.4,371.6
34,5,282.8,508.1,285.3,506.4
1,5,339.2,1124.8,336.6,1102.5
28,5,261.2,282.6,263.5,280.9
12,5,311.8,309.6,298.0,317.2
16,5,267.4,468.5,451.3,559.6
13,5,298.5,296.4,331.4,350.6
11,5,317.1,315.0,335.3,354.5
35,5,288.5,600.3,322.2,598.6
7,5,343.9,530.7,488.3,507.6
17,5,286.7,454.7,437.5,522.5
18,5,297.0,405.2,388.0,453.6
38,5,248.4,489.9,224.5,488.2
29,5,309.7,313.8,294.7,312.1
32,5,255.3,483.9,404.0,482.2
3,5,407.1,755.9,638.4,729.8
31,5,329.1,403.5,384.4,401.8
36,5,260.4,327.4,308.3,325.7
46,5,276.6,793.5,358.3,791.8
15,5,283.2,548.9,534.5,553.7
39,5,324.5,437.7,300.6,436.0
45,5,252.3,705.1,329.6,703.4
14,5,298.0,295.9,344.2,363.4
26,6,318.6,333.6,314.5,331.9
41,6,245.6,727.8,246.9,726.1
43,6,250.7,707.6,225.4,705.9
37,6,262.0,363.3,344.2,361.6
23,6,299.9,298.0,280.7,424.3
9,6,383.8,391.9,367.4,386.7
19,6,374.6,389.5,427.3,451.8
25,6,325.6,338.6,319.5,336.9
10,6,394.8,392.7,405.8,425.1
4,6,300.3,595.9,549.2,568.4
22,6,298.9,405.5,388.3,489.1
8,6,348.2,384.8,331.8,351.0
47,6,289.1,1418.6,270.2,1416.9
6,6,335.1,582.1,542.7,562.0
30,6,278.0,276.1,257.1,274.4
42,6,254.2,784.1,305.9,782.4
5,6,409.4,743.0,658.8,727.0
33,6,257.6,375.4,356.3,373.7
40,6,236.1,706.7,210.7,705.0
21,6,322.7,320.7,303.5,423.2
2,6,296.9,871.0,524.6,850.1
27,6,281.4,291.0,271.9,289.3
20,6,418.0,467.8,478.6,508.1
44,6,268.1,613.2,297.1,611.5
24,6,293.6,291.6,274.4,371.6
34,6,282.8,508.1,285.3,506.4
1,6,339.2,1124.8,336.6,1102.5
28,6,261.2,282.6,263.5,280.9
12,6,311.8,309.6,298.0,317.2
16,6,336.3,468.5,451.3,559.6
13,6,298.5,296.4,331.4,350.6
11,6,317.1,315.0,335.3,354.5
