dep,arr,arr_ko,month,flights,pax,dlat,dlon,alat,alon,air_km,air_min
PUS,CTS,삿보로(치토세),3,164,25052,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,3,124,17620,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,3,500,92176,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,4,479,83470,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,4,60,8404,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGO,나고야,4,120,18153,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,NRT,도쿄 나리타,4,360,58056,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,4,26,5052,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),4,90,12709,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,4,120,17093,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,4,540,93630,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,5,495,89492,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,5,62,9708,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGO,나고야,5,110,16901,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,NRT,도쿄 나리타,5,370,61211,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,5,26,4735,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),5,124,18324,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,5,124,19325,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,5,544,97697,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,6,479,84857,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,6,60,9228,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGO,나고야,6,60,8972,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,NRT,도쿄 나리타,6,342,54649,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,6,26,5054,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),6,164,26703,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,6,94,15408,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,6,496,88213,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,7,493,77550,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,7,62,6798,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGO,나고야,7,85,9907,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,NRT,도쿄 나리타,7,426,58444,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,7,26,4673,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),7,166,27155,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,7,96,14204,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,7,569,91408,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,8,468,80723,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,8,62,7758,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGO,나고야,8,124,14839,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,NRT,도쿄 나리타,8,434,67545,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,8,28,5300,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),8,168,27437,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,8,102,15952,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,8,592,102515,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,9,476,81611,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,9,48,6253,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGO,나고야,9,120,15037,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,NRT,도쿄 나리타,9,418,66855,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,9,24,4473,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),9,149,23872,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,9,116,18367,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,9,514,89276,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,10,532,96311,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,10,62,10015,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGS,나가사키,10,12,2062,35.179501,128.938004,32.916901,129.914001,267.1714385409694,45.03785789057271
PUS,NGO,나고야,10,124,19669,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,TOY,도야마,10,6,1052,35.179501,128.938004,36.648416,137.187359,760.3856795653162,82.02892596739872
PUS,NRT,도쿄 나리타,10,434,71458,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,10,56,9835,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),10,173,28363,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,10,122,19763,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,10,570,100607,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,11,677,125683,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,11,60,9589,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGO,나고야,11,116,18673,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,NRT,도쿄 나리타,11,420,75817,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,11,60,10425,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),11,214,36924,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,11,120,19340,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,11,608,115174,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
PUS,KIX,간사이,12,708,128613,35.179501,128.938004,34.427299,135.244003,581.7018232103461,68.62763674077596
PUS,KMJ,구마모도,12,62,10199,35.179501,128.938004,32.837299,130.854996,314.70810728645705,48.60310804648428
PUS,NGO,나고야,12,62,10371,35.179501,128.938004,34.858398,136.804993,717.1046319533934,78.78284739650451
PUS,NRT,도쿄 나리타,12,446,76732,35.179501,128.938004,35.76858,140.388714,1038.3902017412834,102.87926513059625
PUS,MYJ,마즈야마,12,62,11819,35.179501,128.938004,33.826893,132.700114,376.0860745000053,53.2064555875004
PUS,CTS,삿보로(치토세),12,300,51931,35.179501,128.938004,42.774753,141.690414,1386.0661268115762,128.9549595108682
PUS,OKA,오끼나와,12,124,20474,35.179501,128.938004,26.192437,127.639804,1006.9647213637729,100.52235410228297
PUS,FUK,후쿠오카,12,628,118743,35.179501,128.938004,33.585899353027344,130.4510040283203,225.1095736579313,41.88321802434484
ICN,KIX,간사이,1,2088,394207,37.469101,126.450996,34.427299,135.244003,860.2968950956142,89.52226713217107
ICN,KMQ,고마스,1,26,3282,37.469101,126.450996,36.393407,136.406895,892.5379302689108,91.94034477016831
ICN,KMJ,구마모도,1,154,22758,37.469101,126.450996,32.837299,130.854996,652.1703839340878,73.9127787950566
ICN,NGS,나가사키,1,34,4712,37.469101,126.450996,32.916901,129.914001,595.9075919757765,69.69306939818324
ICN,NGO,나고야,1,513,85424,37.469101,126.450996,34.858398,136.804993,973.1496911703706,97.98622683777779
ICN,KIJ,니이가타,1,26,3594,37.469101,126.450996,37.954166,139.112189,1114.204128884813,108.56530966636096
ICN,TAK,다가마스,1,124,21294,37.469101,126.450996,34.214963,134.015454,771.5540526882328,82.86655395161746
ICN,NRT,도쿄 나리타,1,2199,408744,37.469101,126.450996,35.76858,140.388714,1256.992573105629,119.27444298292217
ICN,HND,도쿄 하네다,1,187,29675,37.469101,126.450996,35.549678,139.786958,1209.760643174231,115.73204823806732
ICN,TKS,도쿠시마,1,26,3629,37.469101,126.450996,34.132559,134.607816,823.4590653275138,86.75942989956354
ICN,MYJ,마즈야마,1,124,19191,37.469101,126.450996,33.826893,132.700114,694.6091324143493,77.09568493107619
ICN,KMI,미와사키,1,62,8155,37.469101,126.450996,31.877199,131.449005,771.413451733765,82.85600888003236
ICN,HSG,사가,1,36,5403,37.469101,126.450996,33.1497,130.302002,593.8278202810596,69.53708652107947
ICN,CTS,삿보로(치토세),1,666,143308,37.469101,126.450996,42.774753,141.690414,1420.989007249495,131.57417554371213
ICN,SDJ,센다이,1,44,6732,37.469101,126.450996,38.139702,140.917007,1271.8202001313798,120.3865150098535
ICN,SHM,시라하마,1,5,779,37.469101,126.450996,33.6622009277,135.363998413,909.9936948962609,93.24952711721957
ICN,SHI,시모지시마,1,44,5578,37.469101,126.450996,24.8267,125.144997,1411.2074715075646,130.84056036306737
ICN,FSZ,시즈오카,1,100,14276,37.469101,126.450996,34.795022,138.190976,1094.6084224518313,107.09563168388735
ICN,AKJ,아사이까와,1,34,4793,37.469101,126.450996,43.670799,142.447006,1513.3696125599424,138.50272094199568
