pref_code,month,min_minutes,best_dep,best_arr,n_reachable,gravity,foreign_total,korea,korea_uncertain,pref_ja,pref_en,capital,lat,lon,korea_share,log_foreign,korea_share_pred,korea_share_resid,korea_share_ratio,korea_pred,korea_resid,korea_ratio
1,1,336.596589387979,PUS,CTS,1,2.993286304214454,1724790.0,284170.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.1647562891714353,14.360615861906354,0.06835926441035309,0.879690249021778,2.410153043520503,93122.56377353294,1.1156561350896421,3.0515697644566586
1,2,336.596589387979,PUS,CTS,1,2.581505300544044,1487940.0,229920.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.1545223597725714,14.212903170981551,0.06544467634238837,0.8591336595722667,2.361114278633656,77201.46941851967,1.091312931562479,2.978181655501562
1,3,336.596589387979,PUS,CTS,1,2.587553467553477,834450.0,133840.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.1603930732818023,13.63452810417155,0.05364529679070223,1.0952337099027396,2.9898813666289854,37158.91875080984,1.2814412402819375,3.6018270848390364
1,4,336.596589387979,PUS,CTS,1,1.6175809781071946,555150.0,83480.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.1503737728541835,13.226993626482411,0.04728351216451533,1.1569623589925042,3.1802581062714266,22734.206419225113,1.3007364012274056,3.671999737338771
1,5,336.596589387979,PUS,CTS,1,1.8846513853006088,603730.0,125580.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.2080068904974077,13.310882357106236,0.058465439449459304,1.269135405526375,3.5577751994359015,29966.126141629957,1.4328753905821152,4.190731875266988
1,6,336.596589387979,PUS,CTS,1,2.6172109579694856,689740.0,196590.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.2850204424855743,13.444069993967911,0.06164868166416127,1.5311090605326896,4.62330150121065,35335.03894852366,1.7162452653125921,5.563599357747812
1,7,336.596589387979,PUS,CTS,1,2.951713425559729,917720.0,268920.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.2930305539816066,13.729647612184099,0.04954175623301628,1.7774610091404066,5.9148196645140585,36983.682361537656,1.9839371394890613,7.271314883443614
1,8,336.596589387979,PUS,CTS,1,3.001096057733041,800270.0,257930.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.3223037224936584,13.59270444970975,0.048926553391214184,1.8851740752960822,6.587501063410998,32047.551992624674,2.0854674307146546,8.048352649817353
1,9,336.596589387979,PUS,CTS,1,2.470499958839182,579790.0,153170.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.2641818589489297,13.27042124799429,0.05704292376979549,1.5328336926178172,4.631281874945115,27722.547357189727,1.7093023495744237,5.525105540500628
1,10,336.596589387979,PUS,CTS,1,2.6637877124108043,811040.0,178980.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.2206796212270664,13.606072653706176,0.058722133549275066,1.3238952540806042,3.7580313910408103,40166.40004949462,1.4942432412860605,4.455963187625821
1,11,336.596589387979,PUS,CTS,1,2.3927843667466573,649760.0,159080.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.2448288598867274,13.384358342920125,0.05319673500408343,1.52656241302308,4.602328693066108,29458.44436749334,1.6864266156044163,5.40014937705064
1,12,336.596589387979,PUS,CTS,1,3.3259113927172264,1556600.0,304030.0,False,北海道,Hokkai Do,札幌市,43.0642,141.3469,0.1953167159193113,14.258014513507424,0.060344339488337485,1.1745552767852359,3.236703186668559,74969.85504172859,1.4000402807850527,4.0553633167727945
2,1,296.93827903247995,ICN,AOJ,1,0.3338581062663686,47500.0,4450.0,False,青森県,Aomori Ken,青森市,40.8246,140.7406,0.0936842105263157,10.768484990022733,0.11090691970714203,-0.16876162420660723,0.8447102378615855,5406.482440697259,-0.1946945894067067,0.8230859988562353
2,2,296.93827903247995,ICN,AOJ,1,0.2871243611743092,48120.0,8110.0,False,青森県,Aomori Ken,青森市,40.8246,140.7406,0.1685369908561928,10.781453170088616,0.10617825582198472,0.46203591559769897,1.5873023111130862,5204.891925024961,0.44349892995992235,1.5581495479295862
2,3,296.93827903247995,ICN,AOJ,1,0.3020014695973005,22170.0,2130.0,False,青森県,Aomori Ken,青森市,40.8246,140.7406,0.0960757780784844,10.006495302610357,0.0870347958707867,0.09882924384258507,1.1038777895351195,2086.4888005244056,0.020639326275817993,1.0208537900920713
2,4,296.93827903247995,ICN,AOJ,1,0.2456983254784596,51010.0,1890.0,False,青森県,Aomori Ken,青森市,40.8246,140.7406,0.0370515585179376,10.839776970916972,0.0767133574700572,-0.7277654292436182,0.48298705388301605,4049.5712013297384,-0.7620341702267348,0.4667160807987252
2,5,296.93827903247995,ICN,AOJ,1,0.2856388052446574,29880.0,2850.0,False,青森県,Aomori Ken,青森市,40.8246,140.7406,0.0953815261044176,10.304944639246754,0.09485505519398063,0.005534921316340924,1.0055502672931909,3001.6039502952876,-0.051827801611539215,0.9494923538195722
