cell_id,lon,lat,pref_code
0,123.68534905918553,24.296614206809846,47
1,123.79275704680929,24.296614206809846,47
2,123.79275704680929,24.386704296899936,47
3,124.22238899730432,24.386704296899936,47
4,124.11498100968056,24.476794386990026,47
5,124.22238899730432,24.476794386990026,47
6,125.29646887354191,24.747064657260296,47
7,125.40387686116567,24.747064657260296,47
8,125.18906088591815,24.837154747350386,47
9,125.29646887354191,24.837154747350386,47
10,123.47053308393801,25.738055648251287,47
11,127.65944460126461,26.098416008611647,47
12,127.65944460126461,26.188506098701737,47
13,127.76685258888837,26.188506098701737,47
14,127.76685258888837,26.278596188791827,47
15,127.76685258888837,26.368686278881917,47
16,127.98166856413589,26.368686278881917,47
17,127.87426057651213,26.458776368972007,47
18,127.98166856413589,26.548866459062097,47
19,128.08907655175966,26.548866459062097,47
20,142.15952293047206,26.548866459062097,13
21,127.98166856413589,26.638956549152187,47
22,128.08907655175966,26.638956549152187,47
23,128.1964845393834,26.638956549152187,47
24,142.15952293047206,26.638956549152187,13
25,127.76685258888837,26.729046639242277,47
26,128.1964845393834,26.729046639242277,47
27,128.30389252700718,26.729046639242277,47
28,128.30389252700718,26.819136729332367,47
29,128.94834045274973,27.720037630233268,46
30,128.94834045274973,27.810127720323358,46
31,129.27056441562098,28.080397990593628,46
32,129.37797240324477,28.170488080683718,46
33,129.27056441562098,28.260578170773808,46
34,129.37797240324477,28.260578170773808,46
35,129.37797240324477,28.3506682608639,46
36,129.4853803908685,28.3506682608639,46
37,130.02242032898732,28.3506682608639,46
38,129.5927883784923,28.44075835095399,46
39,129.70019636611602,28.44075835095399,46
40,129.70019636611602,29.61192952212516,46
41,129.91501234136354,29.97228988248552,46
42,130.45205227948236,30.24256015275579,46
43,130.5594602671061,30.24256015275579,46
44,130.45205227948236,30.33265024284588,46
45,130.5594602671061,30.33265024284588,46
46,130.45205227948236,30.42274033293597,46
47,130.5594602671061,30.42274033293597,46
48,130.8816842299774,30.42274033293597,46
49,130.98909221760113,30.60292051311615,46
50,130.98909221760113,30.69301060320624,46
51,130.7742762423536,31.14346105365669,46
52,130.8816842299774,31.14346105365669,46
53,130.5594602671061,31.23355114374678,46
54,130.7742762423536,31.23355114374678,46
55,130.8816842299774,31.23355114374678,46
56,130.98909221760113,31.23355114374678,46
57,130.23723630423484,31.32364123383687,46
58,130.34464429185857,31.32364123383687,46
59,130.45205227948236,31.32364123383687,46
60,130.5594602671061,31.32364123383687,46
61,130.8816842299774,31.32364123383687,46
62,130.98909221760113,31.32364123383687,46
63,131.0965002052249,31.32364123383687,46
64,130.12982831661105,31.41373132392696,46
65,130.34464429185857,31.41373132392696,46
66,130.45205227948236,31.41373132392696,46
67,130.7742762423536,31.41373132392696,46
68,130.8816842299774,31.41373132392696,46
69,130.98909221760113,31.41373132392696,46
70,131.31131618047243,31.41373132392696,45
71,130.34464429185857,31.50382141401705,46
72,130.45205227948236,31.50382141401705,46
73,130.7742762423536,31.50382141401705,46
74,130.8816842299774,31.50382141401705,46
75,130.98909221760113,31.50382141401705,46
76,131.0965002052249,31.50382141401705,46
77,131.20390819284864,31.50382141401705,45
78,131.31131618047243,31.50382141401705,45
79,130.34464429185857,31.59391150410714,46
80,130.45205227948236,31.59391150410714,46
81,130.5594602671061,31.59391150410714,46
82,130.66686825472988,31.59391150410714,46
83,130.8816842299774,31.59391150410714,46
84,130.98909221760113,31.59391150410714,46
85,131.0965002052249,31.59391150410714,46
86,131.20390819284864,31.59391150410714,45
87,131.31131618047243,31.59391150410714,45
88,129.70019636611602,31.68400159419723,46
89,130.34464429185857,31.68400159419723,46
90,130.45205227948236,31.68400159419723,46
91,130.5594602671061,31.68400159419723,46
92,130.8816842299774,31.68400159419723,46
93,130.98909221760113,31.68400159419723,46
94,131.0965002052249,31.68400159419723,45
95,131.20390819284864,31.68400159419723,45
96,131.31131618047243,31.68400159419723,45
97,131.41872416809616,31.68400159419723,45
98,130.23723630423484,31.77409168428732,46
99,130.34464429185857,31.77409168428732,46
100,130.45205227948236,31.77409168428732,46
101,130.5594602671061,31.77409168428732,46
102,130.66686825472988,31.77409168428732,46
103,130.7742762423536,31.77409168428732,46
104,130.8816842299774,31.77409168428732,46
105,130.98909221760113,31.77409168428732,46
106,131.0965002052249,31.77409168428732,45
107,131.20390819284864,31.77409168428732,45
108,131.31131618047243,31.77409168428732,45
109,131.41872416809616,31.77409168428732,45
110,129.91501234136354,31.86418177437741,46
111,130.23723630423484,31.86418177437741,46
112,130.34464429185857,31.86418177437741,46
113,130.45205227948236,31.86418177437741,46
114,130.5594602671061,31.86418177437741,46
115,130.66686825472988,31.86418177437741,46
116,130.7742762423536,31.86418177437741,46
117,130.8816842299774,31.86418177437741,46
118,130.98909221760113,31.86418177437741,45
119,131.0965002052249,31.86418177437741,45
120,131.20390819284864,31.86418177437741,45
121,131.31131618047243,31.86418177437741,45
122,131.41872416809616,31.86418177437741,45
123,130.23723630423484,31.9542718644675,46
124,130.34464429185857,31.9542718644675,46
125,130.45205227948236,31.9542718644675,46
126,130.5594602671061,31.9542718644675,46
127,130.66686825472988,31.9542718644675,46
128,130.7742762423536,31.9542718644675,46
129,130.8816842299774,31.9542718644675,45
130,130.98909221760113,31.9542718644675,45
131,131.0965002052249,31.9542718644675,45
132,131.20390819284864,31.9542718644675,45
133,131.31131618047243,31.9542718644675,45
134,131.41872416809616,31.9542718644675,45
135,130.23723630423484,32.04436195455759,46
136,130.34464429185857,32.04436195455759,46
137,130.45205227948236,32.04436195455759,46
138,130.5594602671061,32.04436195455759,46
139,130.66686825472988,32.04436195455759,46
140,130.7742762423536,32.04436195455759,45
141,130.8816842299774,32.04436195455759,45
142,130.98909221760113,32.04436195455759,45
143,131.0965002052249,32.04436195455759,45
144,131.20390819284864,32.04436195455759,45
145,131.31131618047243,32.04436195455759,45
146,131.41872416809616,32.04436195455759,45
147,130.12982831661105,32.13445204464768,46
148,130.45205227948236,32.13445204464768,43
149,130.5594602671061,32.13445204464768,46
150,130.66686825472988,32.13445204464768,43
151,130.7742762423536,32.13445204464768,43
152,130.8816842299774,32.13445204464768,43
153,130.98909221760113,32.13445204464768,45
154,131.0965002052249,32.13445204464768,45
155,131.20390819284864,32.13445204464768,45
156,131.31131618047243,32.13445204464768,45
157,131.41872416809616,32.13445204464768,45
158,131.52613215571995,32.13445204464768,45
159,130.02242032898732,32.224542134737774,43
160,130.45205227948236,32.224542134737774,43
161,130.5594602671061,32.224542134737774,43
162,130.66686825472988,32.224542134737774,43
163,130.7742762423536,32.224542134737774,43
164,130.8816842299774,32.224542134737774,43
165,130.98909221760113,32.224542134737774,43
166,131.0965002052249,32.224542134737774,45
167,131.20390819284864,32.224542134737774,45
168,131.31131618047243,32.224542134737774,45
169,131.41872416809616,32.224542134737774,45
170,131.52613215571995,32.224542134737774,45
171,130.02242032898732,32.31463222482786,43
172,130.12982831661105,32.31463222482786,43
173,130.34464429185857,32.31463222482786,43
174,130.5594602671061,32.31463222482786,43
175,130.66686825472988,32.31463222482786,43
176,130.7742762423536,32.31463222482786,43
177,130.8816842299774,32.31463222482786,43
178,130.98909221760113,32.31463222482786,43
179,131.0965002052249,32.31463222482786,43
180,131.20390819284864,32.31463222482786,45
181,131.31131618047243,32.31463222482786,45
182,131.41872416809616,32.31463222482786,45
183,131.52613215571995,32.31463222482786,45
184,130.02242032898732,32.40472231491795,43
185,130.12982831661105,32.40472231491795,43
186,130.5594602671061,32.40472231491795,43
187,130.66686825472988,32.40472231491795,43
188,130.7742762423536,32.40472231491795,43
189,130.8816842299774,32.40472231491795,43
190,130.98909221760113,32.40472231491795,43
191,131.0965002052249,32.40472231491795,45
192,131.20390819284864,32.40472231491795,45
193,131.31131618047243,32.40472231491795,45
194,131.41872416809616,32.40472231491795,45
195,131.52613215571995,32.40472231491795,45
196,131.63354014334368,32.40472231491795,45
197,130.12982831661105,32.49481240500804,43
198,130.34464429185857,32.49481240500804,43
199,130.5594602671061,32.49481240500804,43
200,130.66686825472988,32.49481240500804,43
201,130.7742762423536,32.49481240500804,43
202,130.8816842299774,32.49481240500804,43
203,130.98909221760113,32.49481240500804,43
204,131.0965002052249,32.49481240500804,45
205,131.20390819284864,32.49481240500804,45
206,131.31131618047243,32.49481240500804,45
207,131.41872416809616,32.49481240500804,45
208,131.52613215571995,32.49481240500804,45
